diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
Red Strawberry Banana,Red Strawberry Banana Auto,Sweet Seeds,300 watt,"General Hydroponics (GHE),",True,Manual,,Glass Of Water,,8.61,9,2,8.96,45.33
"Strawberry, Strawberry…",Strawberry Nuggets,Mephisto Genetics,1500 watt,"Real Growers,Down To Earth,Dr. Earth,",True,Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,",,10,,,
Pink Sugar Breath F2 Testers,Pink Sugar Breath F2,Custom Breeder & Strain,200 watt,"Element Nutrients,General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,",,,,9,5,,
Thc titan,Square 1 Genetics Big league,Custom Breeder & Strain,600 watt,"Foop Organic Biosciences,",True,Manual,"Gorilla Grow Tent GGT 4x4,Coco Coir Grow Medium,Perlite Grow Medium,Other Grow Medium,",,"LST,Topping,Defoliation,",393.7,8,1,,6.7
Wedding cake by Silky,Wedding Cake,Zamnesia Seeds,240 watt,,True,Manual,"Soil Grow Medium,",,"Topping,HST,LST,Defoliation,",4.84,17,1,,14.74
Fastbuds tester grow 7 and 8,LSD-25 Auto,Fast Buds,205 watt,,True,Manual,"Coco Coir Grow Medium,",Directly In Substrate,"LST,Defoliation,",13.12,13,1,,4.5
Runtz Muffin,Runtz Muffin,Barney'S Farm,,"BioBizz,Canna,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Expanded Clay Grow Medium,Coco Coir Grow Medium,",Peat Pellet,"Topping,LST,Defoliation,",,21,1,6,28.22
Sour Ripper,Sour Ripper,Ripper Seeds,,"Canna,",True,Manual,"Soil Grow Medium,Vermiculite Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,Coco Coir Grow Medium,",,"Topping,LST,Defoliation,",,18,1,6.1,24.69
sweet skittlez auto ✽ ✾ pt 2,sweet skittlez,Sweet Seeds,150 watt,"Advanced Nutrients,Dyna-Gro,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Paper Towel,,,21,1,,2.93
Quickgrow,Zkittlez OG Auto,Barney'S Farm,680 watt,"Dr. Earth,Plant Success (Plant Revolution),Real Growers,Fish Head Farms,",True,,"Soil Grow Medium,",Directly In Substrate,"LST,",269.1,10,5,,18.09
"WSE Blue Cookies, ViparSpectra P2500",Blue Cookies feminized seeds,Weedseedsexpress,250 watt,"Foop Organic Biosciences,",True,Manual,"Soil Grow Medium,",Glass Of Water,"Defoliation,ScrOG,LST,",6,23,1,3,14.43
Do si dos auto pt 4,Do-Si-Dos Auto,Original Sensible Seeds,150 watt,"Advanced Nutrients,Dyna-Gro,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",,,,13,1,,1.9
Strawberry Banana,Strawberry Banana Feminized,Canuk Seeds,300 watt,"Gaia Green,Real Growers,",True,Manual,"Other Grow Medium,",Paper Towel,"LST,Main-Lining,Topping,Defoliation,ScrOG,",26.25,16,1,4.2,
Elemental de Aranseed,Amnesia Molotov,Kalashnikov Seeds,240 watt,"B.A.C.,",True,Manual,"Soil Grow Medium,",Paper Towel,"Topping,ScrOG,",6.89,11,1,3.25,12.35
Auto Amnesia Errors Seeds,بذور الأخطاء,Custom Breeder & Strain,,,True,,"Soil Grow Medium,",Paper Towel,"Defoliation,",,11,1,,0.21
(Solfire Garden) Cake Mix x Bahama Mama,Baby Cakes,Solfire Gardens,300 watt,"Dyna-Gro,General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,",Paper Towel,"Topping,ScrOG,",,13,1,,3.46
Gorilla Cookies auto FastBuds,Gorilla Cookies Auto,Fast Buds,150 watt,"BioBizz,",True,Manual,,,"LST,FIMing,",,12,2,3.74,3.74
Double Kush Cake,Double Kush Cake Auto,Sensi Seeds,480 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Coco Coir Grow Medium,",,"LST,",10.76,9,1,,14
Wild Thaï Ryder A Taste of Ko Chang,Wild Thailand Ryder,World Of Seeds,250 watt,"PLAGRON.,",True,Manual,"Soil Grow Medium,",,"Defoliation,",10.76,7,1,0.78,
Viparspectra p2000 GreenCrak auto,Green Crack Auto,Seedsman,200 watt,,True,Manual,,,"LST,",Mammoth Tents,9,,,
Gorilla #2,Royal Gorilla Automatic,Royal Queen Seeds,300 watt,"BioBizz,Atami,",True,Manual,"Soil Grow Medium,",Paper Towel,"LST,",,11,1,1.06,
Cdlc and Chemdogging x Cdlc,Creme de la Chem,Mephisto Genetics,320 watt,"Real Growers,South Cascade Organics,General Hydroponics (GHE),FloraFlex,",True,Hydroponics,"Coco Coir Grow Medium,",,"Topping,Defoliation,",10.76,11,2,,3
Bubble og,Bubblegum,Quebec Cannabis Seeds QCS,150 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",,"Topping,12-12 From Seed,",,13,1,,2
BlueberryReversal - Fem Breeding Diary,Original Blueberry (Hunted) (Reversal Plant),Custom Breeder & Strain,150 watt,"Dr. Earth,",True,Manual,"Coco Coir Grow Medium,ProMix HP M Grow Medium,",,,3.28,12,1,,3
Fast buds and OSs at it again!,Amnesia Lemon Kush,Original Sensible Seeds,1600 watt,,True,Manual,"Soil Grow Medium,",,"HST,LST,Topping,12-12 From Seed,Defoliation,",,7,1,,6.8
BC Blueberry First Indoor,BC Blueberry,BC Bud Depot,400 watt,"Gaia Green,",True,Manual,"Organic Grow Medium,",Paper Towel,"LST,Topping,Defoliation,",16,16,4,15.06,15.25
Red Cookies,Red Hot Cookies,Sweet Seeds,"LED / 100W 600W LED,",,True,Manual,"Soil Grow Medium,",,"LST,HST,Defoliation,",,9,1,,35.27
Orange Am Bag #1,Orange Amnesia,Custom Breeder & Strain,330 watt,"Bio Tabs,Growth Technology,PLAGRON.,General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",Paper Towel,"Topping,FIMing,Defoliation,",10.76,16,5,5.22,
WW x BB Clones P2000 VIPARSPECTRA,White Widow x Big Bud,Female Seeds,200 watt,"Canna,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,,8.61,18,10,,10.19
Gelato Clones P2000 VIPARSPECTRA,Malasana Gelato,Exotic Seed,200 watt,"Canna,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,,8.61,19,10,,14.04
Gelato Clones XS2000 VIPARSPECTRA,Malasana Gelato,Exotic Seed,240 watt,"Canna,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,,8.61,19,10,,14.14
WW x BB Clones XS2000 VIPARSPECTRA,White Widow x Big Bud,Female Seeds,240 watt,"Canna,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,,7.53,18,10,,12.95
CBD Crack auto,CBD Auto 1:1 (CBD Crack),Fast Buds,100 watt,"PLAGRON.,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,"LST,Defoliation,",7.53,11,1,,0.75
Purple Kush ILGM Dr Earth Organics,Purple Kush,ILGM,450 watt,"Dr. Earth,",True,Manual,"Premier Peat Moss Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,Rabbit Manure Grow Medium,Worm Castings Grow Medium,",Other,"Topping,LST,Defoliation,",16,20,1,4.71,18.92
Purple Kush Organic Soil #2 Coots ILGM,Purple Kush,ILGM,450 watt,"Down To Earth,Real Growers,Fox Farm,Element Nutrients,",True,Manual,"Premier Peat Moss Grow Medium,Pumice Grow Medium,Perlite Grow Medium,Rabbit Manure Grow Medium,Worm Castings Grow Medium,",,"Topping,LST,Defoliation,",16,20,1,,16.07
Northern Lights Fem - RQS,Northern Light,Royal Queen Seeds,150 watt,,True,Hydroponics,,Peat Pellet,"Defoliation,schwazzing,Topping,Main-Lining,LST,",Custom,16,1,,3.17
Black DOG,Black D.O.G.,Humboldt Seed Organization,310 watt,"General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,",Peat Pellet,"LST,HST,Defoliation,",5.7,9,1,0.78,3.53
3x Red hot cookies,Red Hot Cookies,Sweet Seeds,310 watt,"General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,",Peat Pellet,"LST,HST,Defoliation,",5.81,12,3,6,23.49
Bloodreina - Bloody Skunk Auto,Bloody Skunk Auto®,Sweet Seeds,200 watt,"BioBizz,Dutchpro USA,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,",8.61,10,1,0.53,2.4
Auto Blue Cheese and Auto Black Opium,Auto Black Opium,Divine Seeds,750 watt,"Divine Grow,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"LST,Defoliation,",10.76,12,2,6.7,19.4
Sweet J-47,Jack 47 XL Auto®,Sweet Seeds,400 watt,"Dyna-Gro,Botanicare,",True,Hydroponics,"Expanded Clay Grow Medium,",Paper Towel,"LST,Defoliation,",,12,1,,
Purple Kush GH Hydro,Purple Kush,ILGM,450 watt,"General Hydroponics (GHE),Element Nutrients,Botanicare,",True,Hydroponics,,,"Topping,LST,Defoliation,",16,20,1,,18.29
Alaskan Purple Auto,Alaskan Purple Auto,Seedsman,450 watt,"Real Growers,",True,Manual,"Organic soil mix Grow Medium,",Directly In Substrate,"Defoliation,",16,13,1,,9.38
Spring 22 mix match,Amnesia Lemon,Barney'S Farm,600 watt,,True,Drip,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Vermiculite Grow Medium,Other Grow Medium,",,,16,10,2,,
Auto Mazar Kush XXL,Auto Mazar Kush XXL,Linda Seeds,1000 watt,"Advanced Nutrients,",True,Manual,"Coco Coir Grow Medium,",,,,14,1,,
Solfire gardens,Why U Gelly,Solfire Gardens,300 watt,"House & Garden,Mammoth Microbes,Bio Diesel Nutrients,Canna,",True,Hydroponics,"Gorilla Grow Tent GGT 3x3,Coco Coir Grow Medium,Perlite Grow Medium,",,"ScrOG,",9.69,9,1,,10.23
Wedding Glue - Fastbuds - Marshydro,Wedding Glue Auto,Fast Buds,"LED / 310W Mars TSW 2000,","Advanced Nutrients,",True,Manual,"Soil Grow Medium,Expanded Clay Grow Medium,",Rockwool Cube,"Defoliation,",10.76,10,2,3.35,7.41
Garden of green autumn cup,Chemdog Millionaire Guava,Garden Of Green,450 watt,"Living Soils,Green House Feeding,",True,Manual,"Soil Grow Medium,",Peat Pellet,"LST,",,8,1,,1.8
Ams Supreme Auto,AMS Supreme Auto,Amsterdam Marijuana Seeds AMS,310 watt,"General Hydroponics (GHE),",True,Manual,"Mother Earth Terracraft soil Grow Medium,",Glass Of Water,"Defoliation,Topping,LST,",103.98,13,1,1.05,4
Blueberry Headband Auto,Blueberry Headband Auto,Emerald Triangle Seeds,310 watt,"General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,Mother Earth Terra Grow Medium,",Glass Of Water,"LST,Defoliation,",103.98,13,1,1.09,4
Pineapple Express Auto,Pineapple Express auto,Amsterdam Marijuana Seeds AMS,310 watt,"General Hydroponics (GHE),",True,Manual,"Mother Earth Terracraft soil Grow Medium,",Glass Of Water,"LST,",103.98,11,1,0.82,2.89
Colin OG RBX Grow Dots Testers,Colin OG S1,ETHOS Genetics,1450 watt,"Real Growers,Lotus Nutrients,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,",,8,1,3.35,
Lemmon Haze Auto,Lemon Haze Auto,Emerald Triangle Seeds,310 watt,"General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,",Glass Of Water,"LST,Defoliation,",103.98,13,1,0.99,3.5
Blackberry & Forbidden Runtz Round #2,Blackberry Auto,Fast Buds,700 watt,"Plant Success (Plant Revolution),Humboldts Secret,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"FIMing,LST,Defoliation,",,10,1,4,10
GorillaGlueAuto breed by Fastbuds,Gorilla Glue Auto,Fast Buds,150 watt,"Divine Grow,",True,Manual,"ProMix potting mix Grow Medium,",Paper Towel,"Leaf Tuckin,Lollipopped the Lowers,LST,Defoliation,Spinning Stemz Strengthing,",Custom,14,1,0.71,0.71
Bahama Bussdown,Bahama Bussdown,Solfire Gardens,1200 watt,"Fox Farm,House & Garden,Botanicare,Real Growers,",True,Manual,"Soil Grow Medium,Coco Coir Grow Medium,",Directly In Substrate,"LST,Topping,FIMing,Defoliation,",,9,,,
Strawberry Ice,Strawberry Ice,Amsterdam Marijuana Seeds AMS,724 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",,"Topping,Defoliation,",43.04,14,2,11.91,30.96
She’s called strawberry,Strawberry Nuggets,Mephisto Genetics,1500 watt,"Down To Earth,Real Growers,",True,Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,Topping,FIMing,Defoliation,",26.25,11,1,,0.71
Japanese Wedding Cake F1,Japanese Wedding Cake,Custom Breeder & Strain,260 watt,"Bloom City Organics,Botanicare,Real Growers,General Hydroponics (GHE),",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,HST,Defoliation,ScrOG,",26.25,7,1,,3.88
Cherry Diesel Coco Coir,Cherry Diesel,Custom Breeder & Strain,260 watt,"Bloom City Organics,Botanicare,Real Growers,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"LST,Defoliation,",86.12,10,1,,3.95
Biscotti Mintz-Barney’s @eaegifts,Biscotti Mintz,Barney'S Farm,"LED / 100W HLG 100 V2,","Bloom City Organics,Botanicare,General Hydroponics (GHE),",True,Manual,"Coco Coir Grow Medium,Other Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,ScrOG,",26.25,8,1,,
Lemon Auto & Jock Horror: Third Grow,Auto Lemon,Seedsman,300 watt,"Coast of Maine,True Plant Science (TPS),",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,Defoliation,",26.25,9,1,3.56,14.11
THUNDER BANANA,Thunder Banana Fem,Seedstockers,160 watt,,True,Manual,"Soil Grow Medium,",,,10.76,12,1,,3.28
PANTY PUNCH,Panty Punch Fem,Seedstockers,160 watt,,True,Manual,"Soil Grow Medium,",,,10.76,11,1,,2.29
MAC AND CRACK,Mack and Crack Auto,Seedstockers,160 watt,,True,Manual,"Soil Grow Medium,",,,10.76,11,1,,2.79
GeneSeeds - Mars Hydro FC8000,Auto Cherry Pie,GeneSeeds - NemeSeeds,800 watt,"Green Buzz Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Leca Grow Medium,",Paper Towel,"Defoliation,",5.38,13,1,2.4,
Emerald Triangle Seeds-Mars Hydro FC8000,Blueberry Headband Auto,Emerald Triangle Seeds,800 watt,"Green Buzz Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Leca Grow Medium,",Paper Towel,"Defoliation,",5.38,14,1,3.32,
Zamnesia - Mars Hydro FC8000,Watermelon Candy Automatic,Zamnesia Seeds,800 watt,"Green Buzz Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Leca Grow Medium,",Paper Towel,"Defoliation,",5.38,14,1,2.26,
Expert Seeds Contest - Mars Hydro FC8000,Sweet Cream Auto,Expert Seeds,800 watt,"Green Buzz Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Leca Grow Medium,",Paper Towel,"Defoliation,",5.38,14,1,4.59,
Swwww,Skywalker Kush,Reserva Privada,"LED / 200W LUMATEK Attis 200W,","Advanced Nutrients,Botanicare,Fox Farm,",True,Drip,"Soil Grow Medium,",,"HST,Defoliation,Topping,",,22,,,
BLUE MOBY FEM,Blue Moby Fem (Humboldt),Seedstockers,160 watt,,True,Manual,"Soil Grow Medium,",,,10.76,12,1,,2.96
APOLLO BLACK CHERRY FEM,Apollo Black Cherry Fem,Seedstockers,160 watt,,True,Manual,"Soil Grow Medium,",,"Topping,",10.76,12,1,,3
Forbidden Runtz Auto FastBuds,Forbidden Runtz Auto,Fast Buds,144 watt,"Advanced Nutrients,",True,Manual,"Biobizz all mix Grow Medium,",,"LST,Defoliation,",,11,1,,3.14
KOSHER CAKE AUTO,Kosher Cake Auto,Fast Buds,400 watt,,True,Manual,"Soil Grow Medium,",,,32.29,12,1,,11.29
♡ sweetest seed ♡,Sweet Skunk Fast Version®,Sweet Seeds,600 watt,"General Hydroponics (GHE),",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Other,"ScrOG,HST,Defoliation,Topping,",10.76,13,4,,
Gorilla Skittlez,Gorilla Zkittlez,Barney'S Farm,400 watt,"Canna,",True,Hydroponics,"Coco Coir Grow Medium,",,"LST,ScrOG,Topping,Defoliation,",9.69,14,4,,
'Melanie' Mexican Airlines Auto,Mexican Airlines Auto,Fast Buds,450 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",710.43,12,1,,
'Gertie' Girl Scout Cookies Auto,Girl Scout Cookies Auto,Fast Buds,450 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",216.54,12,1,,
Eletric Candy Auto (Gelato x Amnesia),Eletric Candy Auto (Gelato x Amnesia),Custom Breeder & Strain,150 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,Húmus Grow Medium,",Directly In Substrate,"LST,Defoliation,",,11,3,0.53,
'Miranda' Mimosa Cake Auto,Mimosa Cake Auto,Fast Buds,450 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",66,12,1,,
CK - Lambs Breath Auto #2,Lambs Breath Autoflower,Crop King Seeds,200 watt,"General Hydroponics (GHE),Fox Farm,Humboldts Secret,",True,Manual,"CoolGrows GT 48x24x72,Perlite Grow Medium,Soil Grow Medium,",,"Defoliation,",26.25,14,1,,3.39
Dos si dos,Do-Si-Dos,I49 Seed Bank,770 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",,"Topping,Defoliation,",141.21,14,1,,5.8
Viparspectra XS2000,Aieti Auto,Caucasian Seeds,,"General Hydroponics (GHE),",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Soil Grow Medium,",Paper Towel,"LST,Defoliation,",,13,1,,17.99
Viparspectra & Sweet Seeds,Sweet Amnesia Haze®,Sweet Seeds,240 watt,"General Hydroponics (GHE),",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,5.38,13,1,,9.28
GOG Green Crack (a),Green Crack,Garden Of Green,"LED / 100W SF-1000,",,True,Manual,"Gorilla Grow Tent GGT 4x4,Mycorrhizae Grow Medium,",Directly In Substrate,"Defoliation,",39.37,16,1,,4.06
White Widow,White Widow,Dutch Passion,600 watt,,True,Manual,"Coco Coir Grow Medium,Vermiculite Grow Medium,Perlite Grow Medium,",Other,"FIMing,LST,Defoliation,",2.69,13,1,,10.58
Northern Lights Automatic,Northern Light Automatic,Royal Queen Seeds,250 watt,"Platinium Hydroponics,",True,Drip,"Soil Grow Medium,",Paper Towel,"Defoliation,",3.88,13,2,1.76,1.76
Dance World CBD,Dance World,Royal Queen Seeds,200 watt,,True,,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,",148.29,16,1,5.86,26.74
Crescendo RBx1,Crescendo RBX1,ETHOS Genetics,135 watt,"Fox Farm,Fish Head Farms,Botanicare,",True,Manual,"Soil Grow Medium,",Glass Of Water,"Defoliation,LST,Topping,ScrOG,",5,16,2,4,20
Northern Summer outdoor organic,Royal Highness,Royal Queen Seeds,,,True,Manual,"Soil Grow Medium,",,,,18,1,,6
LimonCello Haze Auto #2,Limoncello Haze Auto,Amsterdam Marijuana Seeds AMS,100 watt,"Fox Farm,",True,Manual,"AC Infinity Cloudlab 422 Advance Grow Tent 2x2 (24"" X 24"" X 48""),Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"LST,Defoliation,",3.28,11,1,,4
Sage N Sour 2,Sage 'n' Sour,T.H.Seeds,"LED / 300W HLG 300 V2 Rspec,","Coast of Maine,CX-Horticulture,",True,Manual,"Coast Of Maine Grow Medium,",Paper Towel,"LST,Defoliation,Topping,Main-Lining,",,14,1,2.3,
Sage N Sour 1,Sage 'n' Sour,T.H.Seeds,"LED / 300W HLG 300 V2 Rspec,","Coast of Maine,CX-Horticulture,",True,Manual,"Coast Of Maine Grow Medium,",Paper Towel,"LST,Main-Lining,Defoliation,Topping,",,14,1,2.1,
Auto Blueberry Berry,Auto Blueberry Berry,BulkSeedBank,390 watt,"Advanced Nutrients,T-REX,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",,"Defoliation,",8.2,7,1,,
Sweet Amnesia Haze,Sweet Amnesia Haze®,Sweet Seeds,480 watt,"Top Crop,Advanced Nutrients,",True,Manual,"Soil Grow Medium,",Paper Towel,"Defoliation,",8.72,13,4,,3.39
Pennywise By Weedseedsexpress,Pennywise feminized seeds,Weedseedsexpress,"LED / 300W HLG 300 V2 Rspec,","Coast of Maine,CX-Horticulture,",True,Manual,"Coast Of Maine Grow Medium,",Paper Towel,"LST,Main-Lining,Topping,Defoliation,",,16,2,5.1,
Melonaid zkittlez con terranabis,Melonaid Zkittlez,The Plug Seedbank,1200 watt,"Terranabis,",True,Manual,"Allmix plagron Grow Medium,",,,Custom,9,5,,
1st indoor autoflower grow 100% Organic,Forbidden Runtz Auto,Fast Buds,230 watt,"Down To Earth,Fox Farm,",True,Manual,"Soil Grow Medium,Leaf Tucking Grow Medium,Air Pruning Pots Grow Medium,",Other,"48 hrs of light,Air Pruning Pots - Honor The Plant,LST,Defoliation,",17.36,10,1,,2.54
Purple Kush,Purple Kush,ILGM,"LED / 300W HLG 300 V2 Rspec,","Coast of Maine,CX-Horticulture,",True,Manual,"Coast Of Maine Grow Medium,",Paper Towel,"Main-Lining,Topping,LST,Defoliation,",,13,1,2.3,
